instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2
0.0004,5.4903,space,5.4431,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,5.4907,25.8397,space,20.3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,25.8402,29.4448,space,3.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,29.4454,30.5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,33.526,34.5747,30.5206,33.5259,,0,0,0,9,1,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,35.875,36.9227,34.5766,35.8748,2,0,1,1,2,1,24,14,1.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,38.2572,39.3089,36.9233,38.257,3,0,2,2,8,1,10,8,1.3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,40.4563,41.5055,39.31,40.4561,3,0,3,3,7,1,20,17,1.1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,42.1634,43.2111,41.5081,42.1632,1,0,4,4,3,1,30,7,0.6339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14272,001,22,w,2026-07-04_12h31.50.189,Mixed_Gamble_Task,2026.1.3,Win32,57.80346821,,,,,,,,,,,43.779,44.8268,43.2121,43.779,2,0,5,5,5,1,20,10,0.5513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
