instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,key_resp_one.rt,key_resp_one.duration,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have a lot of self-care.,survey.block_1/question1.I have healthy boundaries.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,survey.block_1/question3.I balance my own needs with the needs of others.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
0.0002,5.658,space,5.6458,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,5.6584,35.5455,space,29.8686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,35.5457,40.2413,space,4.6768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,40.2415,41.2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,44.3039,45.3531,41.2948,44.3039,,0,0,0,8,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,47.0361,48.0866,45.3538,47.0361,4,0,1,1,3,1,30,7,1.6721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,49.5574,50.6075,48.0872,49.5574,4,0,2,2,9,1,34,12,1.4605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,52.3866,53.4313,50.6082,52.3866,4,0,3,3,5,1,20,10,1.7663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,55.3982,56.449,53.4315,55.3982,4,0,4,4,2,1,24,14,1.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,57.8409,58.8909,56.4493,57.8408,4,0,5,5,4,1,36,18,1.3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,60.0327,61.0824,58.8913,60.0327,4,0,6,6,0,1,12,6,1.1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,62.0492,63.0991,61.0829,62.0492,4,0,7,7,1,1,18,9,0.9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,63.9826,65.0322,63.0996,63.9826,4,0,8,8,7,1,20,17,0.8685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,65.8824,66.9322,65.0325,65.8824,4,0,9,9,6,1,28,16,0.8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,66.9325,70.1292,space,3.1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,70.1292,71.1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,74.1872,75.2368,,,,,,,,,,,,,,,,,,71.1838,74.1872,,0,0,0,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,75.853,76.9024,,,,,,,,,,,,,,,,,,75.2375,75.853,3,0,1,1,24,1,40,16,0.6063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,78.4363,79.4867,,,,,,,,,,,,,,,,,,76.9028,78.4363,3,0,2,2,27,1,30,17,1.5226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,80.9116,81.9616,,,,,,,,,,,,,,,,,,79.487,80.9116,2,0,3,3,20,1,18,9,1.4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,82.944,83.9949,,,,,,,,,,,,,,,,,,81.9619,82.944,3,0,4,4,5,1,38,7,0.9737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,84.8739,85.9242,,,,,,,,,,,,,,,,,,83.9953,84.8739,3,0,5,5,34,1,24,14,0.8694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,87.1407,88.1907,,,,,,,,,,,,,,,,,,85.925,87.1407,1,0,6,6,29,1,38,15,1.2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,89.69,90.7406,,,,,,,,,,,,,,,,,,88.191,89.69,4,0,7,7,30,1,20,10,1.4906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,91.9066,92.9573,,,,,,,,,,,,,,,,,,90.7408,91.9066,1,0,8,8,12,1,18,13,1.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14992,001,20,w,2026-07-02_18h25.31.236,Mixed_Gamble_Task,2026.1.3,MacIntel,114.9425287,,,,,,,,,,,94.0481,95.099,,,,,,,,,,,,,,,,,,92.9577,94.0481,1,0,9,9,3,1,10,19,1.0819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
