instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3
0.001,133.274,space,133.2412,0.0024,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,133.2748,182.0397,space,48.7125,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,182.0401,191.7628,space,9.6976,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,191.7631,192.8138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,195.8336,196.883,192.8285,195.8333,,0,0,0,7,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,199.8854,200.9357,196.8844,199.8851,,0,1,1,2,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,203.9373,204.9886,200.9364,203.9373,,0,2,2,6,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,207.9914,209.0413,204.9896,207.9911,,0,3,3,3,1,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,211.326,212.3772,209.0423,211.3258,3,0,4,4,0,1,12,6,2.2686,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157024,001,64,m,2026-06-24_10h37.21.930,Mixed_Gamble_Task,2026.1.3,Win32,60.97560976,,,,,,,,,,,213.294,214.3449,212.378,213.2938,3,0,5,5,4,1,36,18,0.9022,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
