instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration
0.001,6.098,space,6.061,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,6.099,26.842,space,20.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,26.842,30.594,space,3.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,30.594,31.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,34.659,35.715,31.656,34.659,,0,0,0,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,37.976,39.024,35.718,37.976,3,0,1,1,6,1,28,16,2.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,41.118,42.168,39.027,41.117,3,0,2,2,2,1,24,14,2.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,43.858,44.899,42.172,43.858,4,0,3,3,0,1,12,6,1.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,46.162,47.2,44.901,46.161,4,0,4,4,5,1,20,10,1.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,48.682,49.733,47.203,48.681,4,0,5,5,8,1,10,8,1.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,50.688,51.744,49.734,50.688,4,0,6,6,3,1,30,7,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,53.527,54.575,51.75,53.527,4,0,7,7,4,1,36,18,1.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,56.74,57.787,54.576,56.739,1,0,8,8,7,1,20,17,2.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,59.123,60.177,57.789,59.123,3,0,9,9,9,1,34,12,1.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,,,,,,,,,,,,,,,60.178,62.993,space,2.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,62.993,64.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,66.043,67.089,,,,,,,,,,,,,,,,,,64.055,66.043,3,1.948,,0,0,0,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,69.332,70.389,,,,,,,,,,,,,,,,,,67.091,69.331,2,2.217,,0,1,1,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,72.087,73.143,,,,,,,,,,,,,,,,,,70.392,72.087,3,1.679,,0,2,2,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,74.989,76.033,,,,,,,,,,,,,,,,,,73.144,74.988,3,1.834,,0,3,3,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,77.323,78.37,,,,,,,,,,,,,,,,,,76.037,77.322,3,1.273,,0,4,4,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,79.687,80.742,,,,,,,,,,,,,,,,,,78.372,79.686,3,1.296,,0,5,5,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,82.742,83.79,,,,,,,,,,,,,,,,,,80.744,82.741,4,1.979,,0,6,6,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,85.762,86.817,,,,,,,,,,,,,,,,,,83.793,85.761,2,1.951,,0,7,7,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,88.815,89.863,,,,,,,,,,,,,,,,,,86.819,88.815,3,1.985,,0,8,8,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,91.618,92.673,,,,,,,,,,,,,,,,,,89.867,91.618,4,1.727,,0,9,9,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,93.548,94.601,,,,,,,,,,,,,,,,,,92.676,93.545,4,0.856,,0,10,10,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,96.439,97.486,,,,,,,,,,,,,,,,,,94.606,96.439,4,1.814,,0,11,11,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,98.938,99.994,,,,,,,,,,,,,,,,,,97.489,98.938,1,1.433,,0,12,12,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,103.006,104.052,,,,,,,,,,,,,,,,,,99.995,103.002,,,,0,13,13,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,105.666,106.71,,,,,,,,,,,,,,,,,,104.053,105.665,1,1.606,,0,14,14,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16342,001,23,m,2026-07-06_17h04.43.966,Mixed_Gamble_Task,2026.1.3,Linux x86_64,125,,,,,,,,,,,109.011,110.073,,,,,,,,,,,,,,,,,,106.712,109.011,1,2.285,,0,15,15,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
