instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have a lot of self-care.,survey.block_1/question1.I have healthy boundaries.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
0.0007,5.7116,space,5.6916,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,5.7119,26.6712,space,20.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,26.6718,30.4197,space,3.7227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,30.4199,31.4704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,34.4864,35.5344,31.4783,34.486,,0,0,0,9,1,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,37.6518,38.6994,35.5359,37.6511,2,0,1,1,7,1,20,17,2.0969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,41.2876,42.332,38.6998,41.2875,3,0,2,2,8,1,10,8,2.5818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,45.2052,46.2475,42.3328,45.2048,3,0,3,3,1,1,18,9,2.8497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,48.6641,49.7133,46.2484,48.6637,3,0,4,4,5,1,20,10,2.3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,52.7299,53.7789,49.7141,52.7292,,0,5,5,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,56.7614,57.8109,53.7797,56.761,4,0,6,6,3,1,30,7,2.9653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,60.8267,61.8746,57.8119,60.8259,4,0,7,7,0,1,12,6,2.9971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,63.9576,65.0073,61.8749,63.9575,3,0,8,8,2,1,24,14,2.0671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,67.0734,68.1226,65.0077,67.0732,3,0,9,9,6,1,28,16,2.0482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,68.1229,70.4557,space,2.2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,70.4558,71.5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,73.0721,74.1216,,,,,,,,,,,,,,,,,,71.5077,73.0718,3,1.5466,,0,0,0,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,76.4543,77.5035,,,,,,,,,,,,,,,,,,74.1234,76.4539,2,2.3191,,0,1,1,37,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,80.5187,81.5688,,,,,,,,,,,,,,,,,,77.5043,80.5185,,,,0,2,2,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,82.5021,83.5519,,,,,,,,,,,,,,,,,,81.5693,82.5018,3,0.9157,,0,3,3,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,85.3338,86.3831,,,,,,,,,,,,,,,,,,83.5528,85.3336,3,1.7641,,0,4,4,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,88.0006,89.0497,,,,,,,,,,,,,,,,,,86.3836,88.0002,4,1.6044,,0,5,5,7,1,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17434,001,26,w,2026-06-29_14h00.00.246,Mixed_Gamble_Task,2026.1.3,Win32,59.88023952,,,,,,,,,,,91.1992,92.249,,,,,,,,,,,,,,,,,,89.0503,91.1988,3,2.1331,,0,6,6,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
