instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,key_resp_three.rt,key_resp_three.duration,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
0,9.545,space,9.528,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,9.546,27.055,space,17.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,27.055,36.739,space,9.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,36.745,37.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,40.807,41.856,37.797,40.807,,0,0,0,2,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,44.874,45.924,41.856,44.874,,0,1,1,5,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,48.941,49.99,45.924,48.941,,0,2,2,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,53.008,54.056,49.991,53.007,,0,3,3,8,1,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,57.074,58.124,54.057,57.074,,0,4,4,9,1,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,61.14,62.191,58.125,61.14,,0,5,5,3,1,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,65.208,66.257,62.191,65.208,,0,6,6,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,69.258,70.309,66.257,69.258,,0,7,7,0,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,73.325,74.375,70.309,73.325,,0,8,8,6,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,77.391,78.442,74.376,77.391,,0,9,9,7,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,78.448,81.759,space,3.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,81.759,82.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,85.359,86.409,,,,,,,,,,,,,,,,82.816,85.359,1,2.514,,0,0,0,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,87.91,88.959,,,,,,,,,,,,,,,,86.41,87.91,2,1.483,,0,1,1,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,90.276,91.326,,,,,,,,,,,,,,,,88.959,90.276,1,1.308,,0,2,2,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,92.992,94.043,,,,,,,,,,,,,,,,91.326,92.992,1,1.653,,0,3,3,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,96.493,97.543,,,,,,,,,,,,,,,,94.043,96.493,4,2.436,,0,4,4,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,98.977,100.027,,,,,,,,,,,,,,,,97.543,98.977,3,1.421,,0,5,5,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,101.378,102.427,,,,,,,,,,,,,,,,100.028,101.378,2,1.334,,0,6,6,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17638,001,22,w,2026-07-05_21h55.55.360,Mixed_Gamble_Task,2026.1.3,MacIntel,62.5,,,,,,,,,,,104.128,105.177,,,,,,,,,,,,,,,,102.428,104.128,2,1.685,,0,7,7,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
