instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
0,11.282,space,11.257,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,11.282,58.685,space,47.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,58.685,66.884,space,8.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,66.884,67.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,70.951,72.001,67.939,70.951,,0,0,0,5,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,73.451,74.5,72.002,73.451,4,0,1,1,8,1,10,8,1.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,75.901,76.951,74.502,75.901,4,0,2,2,4,1,36,18,1.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,78.151,79.201,76.952,78.151,3,0,3,3,1,1,18,9,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,80.251,81.301,79.203,80.251,4,0,4,4,3,1,30,7,1.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,82.834,83.884,81.302,82.834,3,0,5,5,0,1,12,6,1.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,85.068,86.118,83.885,85.068,3,0,6,6,2,1,24,14,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,87.085,88.134,86.123,87.084,4,0,7,7,6,1,28,16,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,89.402,90.451,88.136,89.402,4,0,8,8,9,1,34,12,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,92.151,93.201,90.453,92.151,3,0,9,9,7,1,20,17,1.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,93.202,98.652,space,5.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,98.652,99.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,100.968,102.018,,,,,,,,,,,,,,,,,,99.708,100.968,1,1.23,,0,0,0,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,103.419,104.468,,,,,,,,,,,,,,,,,,102.019,103.419,3,1.384,,0,1,1,17,1,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,106.169,107.219,,,,,,,,,,,,,,,,,,104.469,106.169,4,1.685,,0,2,2,28,1,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,109.168,110.218,,,,,,,,,,,,,,,,,,107.219,109.168,3,1.935,,0,3,3,39,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,111.485,112.534,,,,,,,,,,,,,,,,,,110.219,111.485,1,1.251,,0,4,4,10,1,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,114.152,115.201,,,,,,,,,,,,,,,,,,112.535,114.152,4,1.602,,0,5,5,35,1,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,116.552,117.602,,,,,,,,,,,,,,,,,,115.203,116.552,3,1.336,,0,6,6,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,118.868,119.918,,,,,,,,,,,,,,,,,,117.602,118.868,4,1.257,,0,7,7,19,1,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,120.953,122.002,,,,,,,,,,,,,,,,,,119.923,120.952,4,1.016,,0,8,8,24,1,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,123.586,124.635,,,,,,,,,,,,,,,,,,122.003,123.585,3,1.567,,0,9,9,42,1,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,125.753,126.802,,,,,,,,,,,,,,,,,,124.637,125.752,3,1.1,,0,10,10,14,1,26,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,128.034,129.086,,,,,,,,,,,,,,,,,,126.804,128.034,4,1.222,,0,11,11,5,1,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,130.369,131.419,,,,,,,,,,,,,,,,,,129.087,130.369,3,1.269,,0,12,12,21,1,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,133.686,134.735,,,,,,,,,,,,,,,,,,131.421,133.686,2,2.256,,0,13,13,6,1,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,136.269,137.319,,,,,,,,,,,,,,,,,,134.736,136.269,3,1.517,,0,14,14,18,1,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,139.136,140.186,,,,,,,,,,,,,,,,,,137.32,139.136,4,1.803,,0,15,15,22,1,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,141.752,142.803,,,,,,,,,,,,,,,,,,140.186,141.752,4,1.553,,0,16,16,2,1,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,143.886,144.935,,,,,,,,,,,,,,,,,,142.803,143.886,4,1.064,,0,17,17,40,1,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,145.836,146.886,,,,,,,,,,,,,,,,,,144.938,145.836,4,0.884,,0,18,18,29,1,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,147.853,148.903,,,,,,,,,,,,,,,,,,146.886,147.853,4,0.956,,0,19,19,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,149.903,150.953,,,,,,,,,,,,,,,,,,148.904,149.903,4,0.984,,0,20,20,16,1,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,152.271,153.319,,,,,,,,,,,,,,,,,,150.953,152.271,3,1.301,,0,21,21,8,1,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,155.104,156.152,,,,,,,,,,,,,,,,,,153.325,155.104,3,1.764,,0,22,22,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,157.936,158.986,,,,,,,,,,,,,,,,,,156.153,157.936,4,1.769,,0,23,23,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,161.119,162.169,,,,,,,,,,,,,,,,,,158.987,161.119,4,2.119,,0,24,24,20,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,164.036,165.086,,,,,,,,,,,,,,,,,,162.171,164.036,4,1.851,,0,25,25,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,166.653,167.703,,,,,,,,,,,,,,,,,,165.087,166.653,4,1.55,,0,26,26,13,1,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,170.271,171.32,,,,,,,,,,,,,,,,,,167.704,170.27,4,2.551,,0,27,27,32,1,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,173.204,174.254,,,,,,,,,,,,,,,,,,171.321,173.203,3,1.867,,0,28,28,30,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,176.737,177.786,,,,,,,,,,,,,,,,,,174.254,176.737,3,2.473,,0,29,29,25,1,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,180.403,181.453,,,,,,,,,,,,,,,,,,177.787,180.403,3,2.607,,0,30,30,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,183.57,184.621,,,,,,,,,,,,,,,,,,181.455,183.57,2,2.102,,0,31,31,3,1,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,186.154,187.204,,,,,,,,,,,,,,,,,,184.622,186.154,4,1.525,,0,32,32,38,1,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,187.254,188.304,,,,,,,,,,,,,,,,,,187.208,187.254,3,0.032,,0,33,33,1,1,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,188.638,189.686,,,,,,,,,,,,,,,,,,188.305,188.637,3,0.316,,0,34,34,33,1,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,190.97,192.021,,,,,,,,,,,,,,,,,,189.688,190.97,3,1.27,,0,35,35,26,1,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,193.554,194.604,,,,,,,,,,,,,,,,,,192.022,193.553,4,1.518,,0,36,36,11,1,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,196.637,197.688,,,,,,,,,,,,,,,,,,194.605,196.637,2,2.021,,0,37,37,36,1,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,200.221,201.271,,,,,,,,,,,,,,,,,,197.69,200.22,4,2.517,,0,38,38,12,1,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,203.621,204.671,,,,,,,,,,,,,,,,,,201.272,203.621,3,2.335,,0,39,39,41,1,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17683,001,40,w,2026-06-25_21h51.53.402,Mixed_Gamble_Task,2026.1.3,MacIntel,60.0240096,,,,,,,,,,,206.038,207.087,,,,,,,,,,,,,,,,,,204.672,206.038,3,1.354,,0,40,40,15,1,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
