instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,key_resp_one.rt,key_resp_one.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,key_resp_two.rt,key_resp_two.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I have a lot of self-care.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I balance my own needs with the needs of others.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I advocate for my own needs.,survey.block_1/question3.I balance my own needs with the needs of others.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.",survey.block_1/question3.I take good care of myself.,"survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.",survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question4.I have healthy boundaries.,survey.block_1/question4.I have a lot of self-care.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
0.0003,10.5662,space,10.5475,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,10.5662,20.9082,space,10.3255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,20.9083,23.702,space,2.7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,23.7021,24.7427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,27.7467,28.7981,24.7455,27.7467,,0,0,0,6,1,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,31.4587,32.508,28.7987,31.4586,3,0,1,1,7,1,20,17,2.6488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,34.2812,35.3297,32.5083,34.2811,4,0,2,2,0,1,12,6,1.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,36.8594,37.9104,35.33,36.8594,4,0,3,3,3,1,30,7,1.5195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,39.2143,40.2646,37.9113,39.2142,4,0,4,4,5,1,20,10,1.2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,40.9811,42.028,40.265,40.981,4,0,5,5,9,1,34,12,0.7057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,43.5163,44.5586,42.0282,43.5162,2,0,6,6,8,1,10,8,1.4781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,46.5633,47.6088,44.559,46.5633,2,0,7,7,2,1,24,14,1.9938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,48.5383,49.594,47.6091,48.5382,3,0,8,8,1,1,18,9,0.9195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,50.2427,51.2924,49.5943,50.2427,4,0,9,9,4,1,36,18,0.6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,,,,,,,,,,,,,,,51.2926,52.7141,space,1.4057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,52.7141,53.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,54.9845,56.0333,,,,,,,,,,,,,,,,,,53.7704,54.9845,4,1.1997,,0,0,0,9,1,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,56.7351,57.7754,,,,,,,,,,,,,,,,,,56.0335,56.7351,4,0.6921,,0,1,1,4,1,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,59.3338,60.3889,,,,,,,,,,,,,,,,,,57.7757,59.3338,1,1.5481,,0,2,2,31,1,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,61.7355,62.7747,,,,,,,,,,,,,,,,,,60.3891,61.7355,3,1.3363,,0,3,3,34,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17917,001,,,2026-07-08_18h21.01.586,Mixed_Gamble_Task,2026.1.3,Win32,81.96721311,,,,,,,,,,,64.1385,65.1848,,,,,,,,,,,,,,,,,,62.775,64.1385,3,1.3538,,0,4,4,23,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
