instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,Alter,"Geschlecht (m, w, d)",date,expName,psychopyVersion,OS,frameRate,task_description.started,task_description.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,practice.started,practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation.started,fixation.stopped,trial.started,trial.stopped,key_resp_5.keys,gamble_reps.thisRepN,gamble_reps.thisTrialN,gamble_reps.thisN,gamble_reps.thisIndex,gamble_reps.ran,gain_practice,loss_practice,key_resp_5.rt,key_resp_5.duration,trial_end.started,trial_end.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,teil_eins.started,teil_eins.stopped,key_resp_one.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,gain1,loss1,key_resp_one.rt,key_resp_one.duration,pause1.started,pause1.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,teil_zwei.started,teil_zwei.stopped,key_resp_two.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,gain2,loss2,key_resp_two.rt,key_resp_two.duration,pause2.started,pause2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,teil_drei.started,teil_drei.stopped,key_resp_three.keys,key_resp_three.rt,key_resp_three.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,gain3,loss3,transition.started,transition.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,survey.block_1/question1.I balance my own needs with the needs of others.,"survey.block_1/question1.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question1.I have a lot of self-care.,survey.block_1/question1.I have healthy boundaries.,survey.block_1/question1.I advocate for my own needs.,"survey.block_1/question1.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question1.Even though I give a lot to others, I know when to recharge.","survey.block_1/question1.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question1.I take good care of myself.,survey.block_1/question1.I prioritize my own personal projects over the demands of others.,survey.block_1/question3.I have healthy boundaries.,survey.block_1/question3.I have a lot of self-care.,"survey.block_1/question3.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question3.I balance my own needs with the needs of others.,survey.block_1/question3.I advocate for my own needs.,"survey.block_1/question3.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question3.Even though I give a lot to others, I know when to recharge.","survey.block_1/question3.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question3.I take good care of myself.,survey.block_1/question3.I prioritize my own personal projects over the demands of others.,survey.block_1/question4.I have a lot of self-care.,survey.block_1/question4.I have healthy boundaries.,"survey.block_1/question4.I have a healthy dose of self-respect, and don’t let people take advantage of me.",survey.block_1/question4.I balance my own needs with the needs of others.,survey.block_1/question4.I advocate for my own needs.,"survey.block_1/question4.I have a healthy form of selfishness (e.g., meditation, eating healthy, exercising, etc.) that doesn’t hurt others, but brings me greater happiness.","survey.block_1/question4.Even though I give a lot to others, I know when to recharge.","survey.block_1/question4.I give myself permission to enjoy myself, even if it doesn’t necessarily help others.",survey.block_1/question4.I take good care of myself.,survey.block_1/question4.I prioritize my own personal projects over the demands of others.,end.started,end.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration
0.0006,26.2996,space,26.2562,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,26.3,142.1015,space,115.7751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,142.1018,177.5336,space,35.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,177.5338,178.5861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,181.5996,182.6476,178.5948,181.5995,,0,0,0,3,1,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,185.6652,186.7162,182.649,185.6651,,0,1,1,5,1,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,189.7174,190.7662,186.7168,189.7173,,0,2,2,1,1,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,193.7829,194.8318,190.7672,193.7829,,0,3,3,7,1,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,197.8488,198.8986,194.8334,197.8487,,0,4,4,4,1,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,201.9174,202.9657,198.8998,201.9173,,0,5,5,9,1,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,205.9857,207.032,202.9672,205.9856,,0,6,6,0,1,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,210.0487,211.0989,207.0335,210.0486,,0,7,7,2,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,212.7173,213.7651,211.0998,212.7172,3,0,8,8,6,1,28,16,1.6019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,216.3166,217.3647,213.7667,216.3166,3,0,9,9,8,1,10,8,2.5345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,217.366,272.3998,space,54.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,272.4002,273.4499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,276.4619,277.5086,,,,,,,,,,,,,,,,,,273.4543,276.4617,,0,0,0,27,1,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,279.3065,280.3542,,,,,,,,,,,,,,,,,,277.5105,279.3064,1,0,1,1,29,1,38,15,1.7811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,282.7334,283.7816,,,,,,,,,,,,,,,,,,280.3556,282.7332,1,0,2,2,36,1,18,19,2.3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,285.5012,286.5481,,,,,,,,,,,,,,,,,,283.7832,285.5012,2,0,3,3,17,1,10,7,1.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,288.9335,289.9726,,,,,,,,,,,,,,,,,,286.5496,288.9335,3,0,4,4,15,1,14,5,2.3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,292.952,293.9985,,,,,,,,,,,,,,,,,,289.9738,292.9519,1,0,5,5,10,1,12,18,2.9673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17971,001,30,w,2026-06-27_17h19.39.860,Mixed_Gamble_Task,2026.1.3,Win32,60.24096386,,,,,,,,,,,296.6003,297.648,,,,,,,,,,,,,,,,,,293.9999,296.6003,3,0,6,6,20,1,18,9,2.5851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
